Country Code,Country Name,Region,Income Group,Is Aggregate
ABW,Aruba,Latin America & Caribbean,High income,false
AFE,Africa Eastern and Southern,Aggregates,Aggregates,true
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,false
AFR,Africa,Aggregates,Aggregates,true
AFW,Africa Western and Central,Aggregates,Aggregates,true
AGO,Angola,Sub-Saharan Africa,Lower middle income,false
ALB,Albania,Europe & Central Asia,Upper middle income,false
AND,Andorra,Europe & Central Asia,High income,false
ARB,Arab World,Aggregates,Aggregates,true
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,false
ARG,Argentina,Latin America & Caribbean,Upper middle income,false
ARM,Armenia,Europe & Central Asia,Upper middle income,false
ASM,American Samoa,East Asia & Pacific,High income,false
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,false
AUS,Australia,East Asia & Pacific,High income,false
AUT,Austria,Europe & Central Asia,High income,false
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,false
BDI,Burundi,Sub-Saharan Africa,Low income,false
BEA,East Asia & Pacific (IBRD-only countries),Aggregates,Aggregates,true
BEC,Europe & Central Asia (IBRD-only countries),Aggregates,Aggregates,true
BEL,Belgium,Europe & Central Asia,High income,false
BEN,Benin,Sub-Saharan Africa,Lower middle income,false
BFA,Burkina Faso,Sub-Saharan Africa,Low income,false
BGD,Bangladesh,South Asia,Lower middle income,false
BGR,Bulgaria,Europe & Central Asia,High income,false
BHI,IBRD countries classified as high income,Aggregates,Aggregates,true
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,false
BHS,"Bahamas, The",Latin America & Caribbean,High income,false
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,false
BLA,Latin America & the Caribbean (IBRD-only countries),Aggregates,Aggregates,true
BLR,Belarus,Europe & Central Asia,Upper middle income,false
BLZ,Belize,Latin America & Caribbean,Upper middle income,false
BMN,"Middle East, North Africa, Afghanistan & Pakistan (IBRD only)",Aggregates,Aggregates,true
BMU,Bermuda,North America,High income,false
BOL,Bolivia,Latin America & Caribbean,Lower middle income,false
BRA,Brazil,Latin America & Caribbean,Upper middle income,false
BRB,Barbados,Latin America & Caribbean,High income,false
BRN,Brunei Darussalam,East Asia & Pacific,High income,false
BSS,Sub-Saharan Africa (IBRD-only countries),Aggregates,Aggregates,true
BTN,Bhutan,South Asia,Lower middle income,false
BWA,Botswana,Sub-Saharan Africa,Upper middle income,false
CAA,Sub-Saharan Africa (IFC classification),Aggregates,Aggregates,true
CAF,Central African Republic,Sub-Saharan Africa,Low income,false
